state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
42400	0.007	0.007	0.007	0	5	0.743	0.031	3.876	34.67	-1138.01	0.00	0.00
42500	0.010	0.010	0.010	0	6	0.380	0.021	3.876	31.81	-1138.19	0.00	-7.50
42600	0.007	0.007	0.007	0	9	0.595	0.021	3.972	27.12	-1138.60	0.00	0.00
42700	0.009	0.009	0.009	0	7	0.137	0.020	3.972	31.63	-1138.35	0.00	0.00
42800	0.005	0.005	0.005	0	8	0.399	0.026	3.963	36.67	-1138.48	0.00	0.00
42900	0.006	0.006	0.006	0	11	0.512	0.022	3.963	34.83	-1138.80	-0.09	0.00
43000	0.007	0.007	0.007	0	10	0.493	0.041	3.963	33.88	-1138.71	0.11	0.00
43100	0.005	0.005	0.005	0	11	0.111	0.041	3.963	35.90	-1138.80	0.00	-8.17
43200	0.005	0.005	0.005	0	14	0.251	0.064	3.963	29.39	-1139.04	0.00	0.00
43300	0.010	0.010	0.010	0	9	0.280	0.054	3.963	26.72	-1138.60	0.00	0.00
43400	0.005	0.005	0.005	0	14	0.071	0.045	3.963	29.77	-1139.04	0.00	0.00
43500	0.006	0.006	0.006	0	10	0.181	0.045	3.963	32.05	-1138.70	-0.10	0.00
43600	0.005	0.005	0.005	0	13	0.343	0.055	3.963	32.92	-1138.97	0.00	0.00
43700	0.004	0.004	0.004	0	13	0.201	0.044	4.017	27.11	-1138.97	0.00	-8.29
43800	0.006	0.006	0.006	0	11	0.257	0.045	4.017	33.37	-1138.80	0.00	0.00
43900	0.006	0.006	0.006	0	9	0.186	0.029	4.017	29.95	-1138.60	-0.00	0.00
44000	0.006	0.006	0.006	0	12	0.204	0.026	4.017	31.93	-1138.89	-0.01	0.00
44100	0.006	0.006	0.006	0	11	0.379	0.053	4.017	29.85	-1138.80	0.00	0.00
44200	0.009	0.009	0.009	0	8	0.351	0.053	3.768	27.34	-1138.48	-0.00	0.00
44300	0.009	0.009	0.009	0	10	0.300	0.053	3.768	26.65	-1138.71	-0.10	0.00
44400	0.005	0.005	0.005	0	10	0.197	0.053	3.777	28.93	-1138.70	0.11	0.00
44500	0.006	0.006	0.006	0	12	0.368	0.005	4.239	22.86	-1138.89	0.00	0.00
44600	0.010	0.010	0.010	0	12	0.256	0.008	4.133	26.07	-1138.89	0.08	0.00
44700	0.007	0.007	0.007	0	14	0.188	0.008	4.133	27.62	-1139.04	0.07	0.00
44800	0.007	0.007	0.007	0	10	0.229	0.038	4.133	31.43	-1138.70	0.00	-7.81
44900	0.008	0.008	0.008	0	11	0.095	0.038	4.090	26.27	-1138.80	0.00	-0.03
45000	0.006	0.006	0.006	0	8	0.149	0.036	4.090	31.55	-1138.48	0.00	-7.96
45100	0.007	0.007	0.007	0	9	0.109	0.036	3.893	29.98	-1138.60	0.00	0.00
45200	0.008	0.008	0.008	0	10	0.252	0.036	3.893	31.12	-1138.71	-0.00	0.38
45300	0.005	0.005	0.005	0	7	0.865	0.039	3.893	32.75	-1138.35	0.00	-8.08
45400	0.005	0.005	0.005	0	16	0.183	0.024	3.893	34.03	-1139.17	-0.06	0.00
45500	0.003	0.003	0.003	0	20	0.094	0.031	3.893	29.99	-1139.40	0.00	0.00
45600	0.006	0.006	0.006	0	24	0.115	0.031	3.893	29.54	-1139.58	0.00	-0.05
45700	0.005	0.005	0.005	0	22	0.122	0.026	3.893	37.86	-1139.49	-0.00	0.45
45800	0.005	0.005	0.005	0	24	0.181	0.042	3.893	31.81	-1139.58	-0.00	0.00
45900	0.002	0.002	0.002	0	23	0.074	0.042	3.893	39.70	-1139.54	0.00	0.00
46000	0.004	0.004	0.004	0	26	0.095	0.037	3.893	38.12	-1139.66	0.00	-8.43
46100	0.006	0.006	0.006	0	24	0.105	0.030	3.893	35.19	-1139.58	-0.04	0.00
46200	0.006	0.006	0.006	0	26	0.064	0.036	3.893	30.11	-1139.66	-0.04	0.00
46300	0.006	0.006	0.006	0	25	0.095	0.023	3.966	29.24	-1139.62	0.00	0.00
46400	0.004	0.004	0.004	0	22	0.148	0.023	4.040	32.66	-1139.49	0.00	0.00
46500	0.004	0.004	0.004	0	15	0.290	0.023	4.040	37.16	-1139.11	-0.00	0.34
46600	0.005	0.005	0.005	0	12	0.383	0.023	4.040	37.36	-1138.89	-0.00	0.00
46700	0.005	0.005	0.005	0	12	0.143	0.023	4.040	39.80	-1138.89	0.00	0.00
46800	0.010	0.010	0.010	0	12	0.057	0.024	4.040	27.31	-1138.89	-0.00	0.00
46900	0.011	0.011	0.011	0	9	0.150	0.023	4.040	28.23	-1138.60	0.00	-7.41
47000	0.009	0.009	0.009	0	5	0.564	0.014	3.862	32.46	-1138.01	0.00	0.00
47100	0.008	0.008	0.008	0	6	0.748	0.018	3.999	31.22	-1138.20	0.00	-7.74
47200	0.010	0.010	0.010	0	4	0.665	0.051	3.939	31.19	-1137.79	0.00	0.00
47300	0.008	0.008	0.008	0	4	1.002	0.032	3.939	33.05	-1137.79	0.00	0.00
47400	0.008	0.008	0.008	0	6	0.448	0.024	3.939	32.74	-1138.19	0.18	0.00
47500	0.010	0.010	0.010	0	6	0.998	0.022	3.939	31.46	-1138.20	0.00	0.00
47600	0.006	0.006	0.006	0	5	0.680	0.015	3.939	33.39	-1138.01	0.22	0.00
47700	0.008	0.008	0.008	0	6	1.087	0.013	3.939	32.05	-1138.20	0.00	0.00
47800	0.008	0.008	0.008	0	6	1.291	0.013	3.939	32.40	-1138.20	0.00	0.00
47900	0.008	0.008	0.008	0	6	1.650	0.013	3.982	30.51	-1138.20	0.18	0.00
48000	0.008	0.008	0.008	0	5	2.425	0.020	3.976	30.94	-1138.02	0.23	0.00
48100	0.005	0.005	0.005	0	5	0.973	0.087	3.976	28.90	-1138.01	0.00	0.00
48200	0.004	0.004	0.004	0	5	0.297	0.087	3.976	30.57	-1138.01	-0.00	0.11
48300	0.005	0.005	0.005	0	5	1.031	0.089	3.976	28.84	-1138.01	-0.00	0.00
48400	0.008	0.008	0.008	0	6	0.703	0.054	3.936	30.85	-1138.20	0.00	-0.26
48500	0.007	0.007	0.007	0	13	0.111	0.035	3.936	30.63	-1138.97	0.00	0.00
48600	0.006	0.006	0.006	0	14	0.098	0.035	3.936	31.27	-1139.04	-0.07	0.00
48700	0.008	0.008	0.008	0	10	0.134	0.024	3.936	29.02	-1138.70	0.00	0.00
48800	0.006	0.006	0.006	0	7	0.237	0.024	3.936	32.83	-1138.35	0.00	-7.91
48900	0.012	0.012	0.012	0	9	0.371	0.016	3.936	25.43	-1138.60	0.11	0.00
49000	0.007	0.007	0.007	0	8	0.153	0.014	4.111	31.79	-1138.48	0.00	0.00
49100	0.006	0.006	0.006	0	12	0.285	0.019	4.111	33.84	-1138.89	0.08	0.00
49200	0.006	0.006	0.006	0	10	0.172	0.017	4.001	35.10	-1138.70	-0.10	0.00
49300	0.007	0.007	0.007	0	7	0.371	0.017	4.001	33.39	-1138.35	0.00	0.00
49400	0.006	0.006	0.006	0	7	0.564	0.017	4.001	31.70	-1138.35	-0.00	0.00
49500	0.006	0.006	0.006	0	7	0.539	0.021	4.001	34.66	-1138.35	0.00	0.00
49600	0.006	0.006	0.006	0	10	0.118	0.021	3.979	33.40	-1138.70	0.00	-0.44
49700	0.010	0.010	0.010	0	5	0.905	0.026	3.979	30.49	-1138.01	0.00	-7.48
49800	0.007	0.007	0.007	0	4	0.651	0.026	3.979	33.48	-1137.79	-0.00	0.05
49900	0.007	0.007	0.007	0	6	0.227	0.051	3.934	33.34	-1138.19	0.18	0.00
50000	0.005	0.005	0.005	0	6	0.398	0.051	3.934	33.13	-1138.19	-0.00	0.00
